category,parent,chart_name,chart_url
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,STH-MVRV and Cost Basis,STH-MVRV Ratio Z-Score Histogram,https://charts.checkonchain.com/btconchain/unrealised/histogram_bullbear_mvrv_sth_zscore/histogram_bullbear_mvrv_sth_zscore_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,NUPL by Cohort,Net Unrealized Profit/Loss (NUPL),https://charts.checkonchain.com/btconchain/unrealised/nupl/nupl_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,NUPL by Cohort,Net Unrealised Profit/Loss by Cohort (NUPL),https://charts.checkonchain.com/btconchain/unrealised/nupl_bycohort/nupl_bycohort_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,NUPL by Cohort,Net Unrealised Profit/Loss by Cohort Z-Score (NUPL-Z),https://charts.checkonchain.com/btconchain/unrealised/nupl_bycohort_zscore/nupl_bycohort_zscore_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,NUPL by Cohort,NUPL Histogram,https://charts.checkonchain.com/btconchain/unrealised/histogram_nupl/histogram_nupl_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,NUPL by Cohort,Net Unrealized Profit/Loss (NUPL),https://charts.checkonchain.com/btconchain/cointime/nupl_aviv/nupl_aviv_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Mayer Multiple,The Mayer Multiple,https://charts.checkonchain.com/btconchain/pricing/pricing_mayermultiple/pricing_mayermultiple_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Mayer Multiple,Mayer Multiple Distribution,https://charts.checkonchain.com/btconchain/pricing/histogram_mayermultiple/histogram_mayermultiple_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Mayer Multiple,The Mayer Multiple Z-score,https://charts.checkonchain.com/btconchain/pricing/pricing_mayermultiple_zscore/pricing_mayermultiple_zscore_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Mayer Multiple,Mayer Multiple Z-Score Histogram,https://charts.checkonchain.com/btconchain/pricing/histogram_mvrv_zscore_bullbear_Mayer/histogram_mvrv_zscore_bullbear_Mayer_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Pi Cycle Top Indicator,Pi Cycle Top Indicator,https://charts.checkonchain.com/btconchain/pricing/pricing_picycleindicator/pricing_picycleindicator_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Investor Tool,Investor Tool,https://charts.checkonchain.com/btconchain/pricing/pricing_investortool/pricing_investortool_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Yearly Cost Basis Models,Yearly Volume Weighted Cost Basis,https://charts.checkonchain.com/btconchain/pricing/pricing_yearlycostbasis/pricing_yearlycostbasis_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Bitcoin's Magic Lines,Bitcoin's Magic lines,https://charts.checkonchain.com/btconchain/pricing/pricing_magiclines/pricing_magiclines_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,True Market Mean and AVIV Ratio,True Market Mean and AVIV Ratio Indicator,https://charts.checkonchain.com/btconchain/unrealised/mvrv_aviv_1/mvrv_aviv_1_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,True Market Mean and AVIV Ratio,AVIV Bull and Bear Histogram,https://charts.checkonchain.com/btconchain/unrealised/histogram_mvrv_bullbear_aviv/histogram_mvrv_bullbear_aviv_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,True Market Mean and AVIV Ratio,The AVIV Ratio Z-Score,https://charts.checkonchain.com/btconchain/unrealised/mvrv_aviv_zscore/mvrv_aviv_zscore_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,True Market Mean and AVIV Ratio,AVIV Ratio Z-Score Histogram,https://charts.checkonchain.com/btconchain/unrealised/histogram_bullbear_aviv_zscore/histogram_bullbear_aviv_zscore_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,NVT Price Model,NVT Price Models,https://charts.checkonchain.com/btconchain/pricing/pricing_nvtprice/pricing_nvtprice_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Euphoria Zone,The Bitcoin Euphoria Zone,https://charts.checkonchain.com/btconchain/pricing/pricing_euphoriazone/pricing_euphoriazone_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Euphoria Zone,MVRV-Z Top Pricing Bands 730d,https://charts.checkonchain.com/btconchain/pricing/topping_bands_mvrv_730/topping_bands_mvrv_730_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Euphoria Zone,AVIV-Z Top Pricing Bands 730d,https://charts.checkonchain.com/btconchain/pricing/topping_bands_aviv_730/topping_bands_aviv_730_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Euphoria Zone,STH-MVRV-Z Top Pricing Bands 730d,https://charts.checkonchain.com/btconchain/pricing/topping_bands_mvrv_sth_730/topping_bands_mvrv_sth_730_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,The Euphoria Zone,Mayer Multiple-Z Top Pricing Bands 730d,https://charts.checkonchain.com/btconchain/pricing/topping_bands_mayer_730/topping_bands_mayer_730_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Long-Term Holder Indicators,Long-Term Holder MVRV Ratio,https://charts.checkonchain.com/btconchain/unrealised/mvrv_lth/mvrv_lth_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Long-Term Holder Indicators,Long-Term Holder LTH-SOPR Indicator,https://charts.checkonchain.com/btconchain/realised/lthsopr_indicator/lthsopr_indicator_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Long-Term Holder Indicators,Long-Term Holder MVRV Z-Score,https://charts.checkonchain.com/btconchain/unrealised/mvrv_lth_zscore/mvrv_lth_zscore_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Long-Term Holder Indicators,Long-Term Holder MVRV Ratio Momentum,https://charts.checkonchain.com/btconchain/unrealised/mvrv_momentum_lth/mvrv_momentum_lth_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Long-Term Holder Indicators,Long-Term Holder Binary Spending Indicator,https://charts.checkonchain.com/btconchain/supply/binaryspending_indicator/binaryspending_indicator_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Long-Term Holder Indicators,Long-Term Holder Distribution Since 2018-01-01,https://charts.checkonchain.com/btconchain/demand/sold_lthspent_2018-01-01/sold_lthspent_2018-01-01_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Long-Term Holder Indicators,Long-Term Holder Distribution Since 2022-11-09,https://charts.checkonchain.com/btconchain/demand/sold_lthspent_2022-11-09/sold_lthspent_2022-11-09_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Fibonacci Key Levels,Bitcoin Price & Fibonacci Retracements (Today),https://charts.checkonchain.com/btconchain/pricing/pricing_price_fibs_today/pricing_price_fibs_today_light.html
Bitcoin On-Chain Analysis & Charts - Professional BTC Metrics and Market Indicators,Fibonacci Key Levels,Bitcoin Price & Fibonacci Retracements (2024 Chop),https://charts.checkonchain.com/btconchain/pricing/pricing_price_fibs_2024_chop/pricing_price_fibs_2024_chop_light.html
